episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
242,270.0,354,150652,0.1,0.10405053775966837,588.0038906320001,True,False
243,420.0,468,151120,0.1,0.10406709116939296,589.7052128979999,True,False
244,550.0,494,151614,0.1,0.1053613857858307,591.4872050219999,True,False
245,670.0,651,152265,0.1,0.10439145739870204,593.7879392279999,True,False
246,920.0,749,153014,0.1,0.0970363355077365,596.432262887,True,False
247,1260.0,759,153773,0.1,0.10130813985719885,599.548954287,True,False
248,580.0,526,154299,0.1,0.11068050935864449,601.687893003,True,False
249,180.0,348,154647,0.1,0.11697021116042274,603.052728807,True,False
250,1220.0,759,155406,0.1,0.1111421897811325,605.7646698640001,True,False
251,580.0,578,155984,0.1,0.10676598306103,609.782501487,True,False
252,1390.0,944,156928,0.1,0.10581709177359559,613.707305917,True,False
253,890.0,617,157545,0.1,0.10087926203215664,615.9096248870001,True,False
254,480.0,408,157953,0.1,0.09947996124552161,617.415045319,True,False
255,600.0,590,158543,0.1,0.10514089674213711,619.587480976,True,False
256,680.0,673,159216,0.1,0.10390626617084593,621.9590613519999,True,False
257,410.0,389,159605,0.1,0.11750017277435544,623.563026993,True,False
258,660.0,631,160236,0.1,0.09650648895745413,626.3535560180001,True,False
259,460.0,408,160644,0.1,0.11091918318404578,627.861744525,True,False
260,670.0,513,161157,0.1,0.11640668474137783,629.712437137,True,False
261,910.0,570,161727,0.1,0.1040941131019204,631.775476239,True,False
262,340.0,457,162184,0.1,0.1352918971005989,633.4548171619999,True,False
263,660.0,634,162818,0.1,0.13966731094059687,635.7960172989999,True,False
264,1000.0,804,163622,0.1,0.11938555907013255,639.250199392,True,False
265,280.0,309,163931,0.1,0.11342266406380123,640.4557555670001,True,False
266,580.0,482,164413,0.1,0.12748849496614834,642.202413773,True,False
267,520.0,502,164915,0.1,0.12116994759440422,644.0321788829999,True,False
268,510.0,448,165363,0.1,0.11464963788499258,645.688626568,True,False
269,630.0,495,165858,0.1,0.11846614803277677,647.4893828659999,True,False
270,190.0,320,166178,0.1,0.12094047833234071,648.8832330109999,True,False
271,1350.0,569,166747,0.1,0.13508371474929678,651.5222966450001,True,False
272,1430.0,644,167391,0.1,0.12164676807219198,653.8087584729999,True,False
273,220.0,395,167786,0.1,0.11454751388630782,655.30186746,True,False
274,470.0,462,168248,0.1,0.12975101102271985,656.996691561,True,False
275,840.0,699,168947,0.1,0.13560512665145355,659.465492437,True,False
276,470.0,438,169385,0.1,0.12080668344755065,663.632077552,True,False
277,610.0,612,169997,0.1,0.13873008244177876,665.8189374210001,True,False
278,330.0,416,170413,0.1,0.10157418016415949,667.341513119,True,False
279,430.0,403,170816,0.1,0.12648540866183172,668.8579662760001,True,False
280,470.0,443,171259,0.1,0.1325324655764482,670.479761349,True,False
281,390.0,392,171651,0.1,0.1616770559541729,671.9719552490001,True,False
282,300.0,367,172018,0.1,0.11393556167857478,673.3329143409999,True,False
283,470.0,412,172430,0.1,0.1163561320095097,675.2310901399999,True,False
284,840.0,633,173063,0.1,0.11222229559634682,677.7962028100001,True,False
285,390.0,507,173570,0.1,0.11486899335025333,679.6549282369999,True,False
286,430.0,404,173974,0.1,0.10378937867682168,681.171527512,True,False
287,540.0,486,174460,0.1,0.1356504058892854,682.932769285,True,False
288,350.0,452,174912,0.1,0.1014099950465349,684.6101370240001,True,False
289,440.0,456,175368,0.1,0.10961443238091051,686.318097369,True,False
290,1050.0,897,176265,0.1,0.12410840436600015,690.109151285,True,False
291,800.0,789,177054,0.1,0.10463903752642537,692.9268868879999,True,False
292,1460.0,1283,178337,0.1,0.10791956174631263,697.3174040449999,True,False
293,1050.0,779,179116,0.1,0.09240159447758625,700.3739696959999,True,False
294,650.0,551,179667,0.1,0.10579787710695153,702.695027282,True,False
295,320.0,420,180087,0.1,0.08026352088366236,704.2612402350001,True,False
296,1160.0,768,180855,0.1,0.0831273801838203,706.9472924500001,True,False
297,820.0,605,181460,0.1,0.08784812247674716,709.1173314289999,True,False
298,490.0,536,181996,0.1,0.09009284986905865,711.0429528330001,True,False
299,560.0,463,182459,0.1,0.08227567966703488,713.1667228399999,True,False
300,1030.0,743,183202,0.1,0.1089948063205567,716.1421312980001,True,False
